_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
74,1997/98,S08000029, ,Total,d,29 days - 6 months,565
75,1997/98,S08000029, ,Total,d,> 6 months,125
76,1997/98,S08000019, ,SMR01, ,< 1 day,30
77,1997/98,S08000019, ,SMR01, ,1 - 7 days,130
78,1997/98,S08000019, ,SMR01, ,8 - 28 days,70
79,1997/98,S08000019, ,SMR01, ,29 days - 6 months,25
80,1997/98,S08000019, ,SMR01, ,> 6 months,0
81,1997/98,S08000019, ,SMR04, ,< 1 day,85
82,1997/98,S08000019, ,SMR04, ,1 - 7 days,255
83,1997/98,S08000019, ,SMR04, ,8 - 28 days,555
84,1997/98,S08000019, ,SMR04, ,29 days - 6 months,410
85,1997/98,S08000019, ,SMR04, ,> 6 months,120
86,1997/98,S08000019, ,Total,d,< 1 day,115
87,1997/98,S08000019, ,Total,d,1 - 7 days,385
88,1997/98,S08000019, ,Total,d,8 - 28 days,625
89,1997/98,S08000019, ,Total,d,29 days - 6 months,435
90,1997/98,S08000019, ,Total,d,> 6 months,120
91,1997/98,S08000020, ,SMR01, ,< 1 day,145
92,1997/98,S08000020, ,SMR01, ,1 - 7 days,495
93,1997/98,S08000020, ,SMR01, ,8 - 28 days,190
94,1997/98,S08000020, ,SMR01, ,29 days - 6 months,80
95,1997/98,S08000020, ,SMR01, ,> 6 months,0
96,1997/98,S08000020, ,SMR04, ,< 1 day,40
97,1997/98,S08000020, ,SMR04, ,1 - 7 days,510
98,1997/98,S08000020, ,SMR04, ,8 - 28 days,900
99,1997/98,S08000020, ,SMR04, ,29 days - 6 months,645
100,1997/98,S08000020, ,SMR04, ,> 6 months,170
101,1997/98,S08000020, ,Total,d,< 1 day,185
102,1997/98,S08000020, ,Total,d,1 - 7 days,1005
103,1997/98,S08000020, ,Total,d,8 - 28 days,1090
104,1997/98,S08000020, ,Total,d,29 days - 6 months,725
105,1997/98,S08000020, ,Total,d,> 6 months,175
106,1997/98,S08000031, ,SMR01, ,< 1 day,380
107,1997/98,S08000031, ,SMR01, ,1 - 7 days,1220
108,1997/98,S08000031, ,SMR01, ,8 - 28 days,510
109,1997/98,S08000031, ,SMR01, ,29 days - 6 months,280
110,1997/98,S08000031, ,SMR01, ,> 6 months,50
111,1997/98,S08000031, ,SMR04, ,< 1 day,165
112,1997/98,S08000031, ,SMR04, ,1 - 7 days,1900
113,1997/98,S08000031, ,SMR04, ,8 - 28 days,2845
114,1997/98,S08000031, ,SMR04, ,29 days - 6 months,2290
115,1997/98,S08000031, ,SMR04, ,> 6 months,640
116,1997/98,S08000031, ,Total,d,< 1 day,545
117,1997/98,S08000031, ,Total,d,1 - 7 days,3120
118,1997/98,S08000031, ,Total,d,8 - 28 days,3360
119,1997/98,S08000031, ,Total,d,29 days - 6 months,2570
120,1997/98,S08000031, ,Total,d,> 6 months,685
121,1997/98,S08000022, ,SMR01, ,< 1 day,155
122,1997/98,S08000022, ,SMR01, ,1 - 7 days,490
123,1997/98,S08000022, ,SMR01, ,8 - 28 days,205
124,1997/98,S08000022, ,SMR01, ,29 days - 6 months,65
125,1997/98,S08000022, ,SMR01, ,> 6 months,10
126,1997/98,S08000022, ,SMR04, ,< 1 day,30
127,1997/98,S08000022, ,SMR04, ,1 - 7 days,480
128,1997/98,S08000022, ,SMR04, ,8 - 28 days,765
129,1997/98,S08000022, ,SMR04, ,29 days - 6 months,510
130,1997/98,S08000022, ,SMR04, ,> 6 months,110
131,1997/98,S08000022, ,Total,d,< 1 day,190
132,1997/98,S08000022, ,Total,d,1 - 7 days,970
133,1997/98,S08000022, ,Total,d,8 - 28 days,970
134,1997/98,S08000022, ,Total,d,29 days - 6 months,575
135,1997/98,S08000022, ,Total,d,> 6 months,120
136,1997/98,S08000032, ,SMR01, ,< 1 day,130
137,1997/98,S08000032, ,SMR01, ,1 - 7 days,330
138,1997/98,S08000032, ,SMR01, ,8 - 28 days,95
139,1997/98,S08000032, ,SMR01, ,29 days - 6 months,70
140,1997/98,S08000032, ,SMR01, ,> 6 months,10
141,1997/98,S08000032, ,SMR04, ,< 1 day,75
142,1997/98,S08000032, ,SMR04, ,1 - 7 days,615
143,1997/98,S08000032, ,SMR04, ,8 - 28 days,895
144,1997/98,S08000032, ,SMR04, ,29 days - 6 months,565
145,1997/98,S08000032, ,SMR04, ,> 6 months,155
146,1997/98,S08000032, ,Total,d,< 1 day,205
147,1997/98,S08000032, ,Total,d,1 - 7 days,940
148,1997/98,S08000032, ,Total,d,8 - 28 days,990
149,1997/98,S08000032, ,Total,d,29 days - 6 months,630
150,1997/98,S08000032, ,Total,d,> 6 months,160
151,1997/98,S08000024, ,SMR01, ,< 1 day,215
152,1997/98,S08000024, ,SMR01, ,1 - 7 days,470
153,1997/98,S08000024, ,SMR01, ,8 - 28 days,195
154,1997/98,S08000024, ,SMR01, ,29 days - 6 months,110
155,1997/98,S08000024, ,SMR01, ,> 6 months,0
156,1997/98,S08000024, ,SMR04, ,< 1 day,90
157,1997/98,S08000024, ,SMR04, ,1 - 7 days,1390
158,1997/98,S08000024, ,SMR04, ,8 - 28 days,2105
159,1997/98,S08000024, ,SMR04, ,29 days - 6 months,1285
160,1997/98,S08000024, ,SMR04, ,> 6 months,290
161,1997/98,S08000024, ,Total,d,< 1 day,300
162,1997/98,S08000024, ,Total,d,1 - 7 days,1860
163,1997/98,S08000024, ,Total,d,8 - 28 days,2300
164,1997/98,S08000024, ,Total,d,29 days - 6 months,1395
165,1997/98,S08000024, ,Total,d,> 6 months,290
166,1997/98,S08000025, ,SMR01, ,< 1 day,15
167,1997/98,S08000025, ,SMR01, ,1 - 7 days,30
168,1997/98,S08000025, ,SMR01, ,8 - 28 days,10
169,1997/98,S08000025, ,SMR01, ,29 days - 6 months,0
170,1997/98,S08000025, ,SMR01, ,> 6 months,5
171,1997/98,S08000025, ,SMR04, ,< 1 day,0
172,1997/98,S08000025, ,SMR04, ,1 - 7 days,0
173,1997/98,S08000025, ,SMR04, ,8 - 28 days,0
174,1997/98,S08000025, ,SMR04, ,29 days - 6 months,0
175,1997/98,S08000025, ,SMR04, ,> 6 months,0
176,1997/98,S08000025, ,Total,d,< 1 day,15
177,1997/98,S08000025, ,Total,d,1 - 7 days,30
178,1997/98,S08000025, ,Total,d,8 - 28 days,10
179,1997/98,S08000025, ,Total,d,29 days - 6 months,0
180,1997/98,S08000025, ,Total,d,> 6 months,5
181,1997/98,S08000026, ,SMR01, ,< 1 day,45
182,1997/98,S08000026, ,SMR01, ,1 - 7 days,60
183,1997/98,S08000026, ,SMR01, ,8 - 28 days,5
184,1997/98,S08000026, ,SMR01, ,29 days - 6 months,10
185,1997/98,S08000026, ,SMR01, ,> 6 months,0
186,1997/98,S08000026, ,SMR04, ,< 1 day,0
187,1997/98,S08000026, ,SMR04, ,1 - 7 days,0
188,1997/98,S08000026, ,SMR04, ,8 - 28 days,0
189,1997/98,S08000026, ,SMR04, ,29 days - 6 months,0
190,1997/98,S08000026, ,SMR04, ,> 6 months,0
191,1997/98,S08000026, ,Total,d,< 1 day,45
192,1997/98,S08000026, ,Total,d,1 - 7 days,60
193,1997/98,S08000026, ,Total,d,8 - 28 days,5
194,1997/98,S08000026, ,Total,d,29 days - 6 months,10
195,1997/98,S08000026, ,Total,d,> 6 months,0
196,1997/98,S08000030, ,SMR01, ,< 1 day,145
197,1997/98,S08000030, ,SMR01, ,1 - 7 days,275
198,1997/98,S08000030, ,SMR01, ,8 - 28 days,150
199,1997/98,S08000030, ,SMR01, ,29 days - 6 months,85
200,1997/98,S08000030, ,SMR01, ,> 6 months,5
201,1997/98,S08000030, ,SMR04, ,< 1 day,65
202,1997/98,S08000030, ,SMR04, ,1 - 7 days,640
203,1997/98,S08000030, ,SMR04, ,8 - 28 days,985
204,1997/98,S08000030, ,SMR04, ,29 days - 6 months,790
205,1997/98,S08000030, ,SMR04, ,> 6 months,205
206,1997/98,S08000030, ,Total,d,< 1 day,210
207,1997/98,S08000030, ,Total,d,1 - 7 days,915
208,1997/98,S08000030, ,Total,d,8 - 28 days,1135
209,1997/98,S08000030, ,Total,d,29 days - 6 months,880
210,1997/98,S08000030, ,Total,d,> 6 months,210
211,1997/98,S08000028, ,SMR01, ,< 1 day,15
212,1997/98,S08000028, ,SMR01, ,1 - 7 days,65
213,1997/98,S08000028, ,SMR01, ,8 - 28 days,45
214,1997/98,S08000028, ,SMR01, ,29 days - 6 months,10
215,1997/98,S08000028, ,SMR01, ,> 6 months,0
216,1997/98,S08000028, ,SMR04, ,< 1 day,5
217,1997/98,S08000028, ,SMR04, ,1 - 7 days,40
218,1997/98,S08000028, ,SMR04, ,8 - 28 days,105
219,1997/98,S08000028, ,SMR04, ,29 days - 6 months,20
220,1997/98,S08000028, ,SMR04, ,> 6 months,10
221,1997/98,S08000028, ,Total,d,< 1 day,15
222,1997/98,S08000028, ,Total,d,1 - 7 days,105
223,1997/98,S08000028, ,Total,d,8 - 28 days,150
224,1997/98,S08000028, ,Total,d,29 days - 6 months,30
225,1997/98,S08000028, ,Total,d,> 6 months,10
226,1997/98,SB0802, ,SMR01, ,< 1 day,0
227,1997/98,SB0802, ,SMR01, ,1 - 7 days,0
228,1997/98,SB0802, ,SMR01, ,8 - 28 days,0
229,1997/98,SB0802, ,SMR01, ,29 days - 6 months,0
230,1997/98,SB0802, ,SMR01, ,> 6 months,0
231,1997/98,SB0802, ,SMR04, ,< 1 day,0
232,1997/98,SB0802, ,SMR04, ,1 - 7 days,0
233,1997/98,SB0802, ,SMR04, ,8 - 28 days,0
234,1997/98,SB0802, ,SMR04, ,29 days - 6 months,10
235,1997/98,SB0802, ,SMR04, ,> 6 months,20
236,1997/98,SB0802, ,Total,d,< 1 day,0
237,1997/98,SB0802, ,Total,d,1 - 7 days,0
238,1997/98,SB0802, ,Total,d,8 - 28 days,0
239,1997/98,SB0802, ,Total,d,29 days - 6 months,10
240,1997/98,SB0802, ,Total,d,> 6 months,20
241,1997/98,S92000003,d,SMR01, ,< 1 day,1630
242,1997/98,S92000003,d,SMR01, ,1 - 7 days,4365
243,1997/98,S92000003,d,SMR01, ,8 - 28 days,1745
244,1997/98,S92000003,d,SMR01, ,29 days - 6 months,860
245,1997/98,S92000003,d,SMR01, ,> 6 months,95
246,1997/98,S92000003,d,SMR04, ,< 1 day,660
247,1997/98,S92000003,d,SMR04, ,1 - 7 days,7305
248,1997/98,S92000003,d,SMR04, ,8 - 28 days,11295
249,1997/98,S92000003,d,SMR04, ,29 days - 6 months,8080
250,1997/98,S92000003,d,SMR04, ,> 6 months,2110
251,1997/98,S92000003,d,Total,d,< 1 day,2290
252,1997/98,S92000003,d,Total,d,1 - 7 days,11675
253,1997/98,S92000003,d,Total,d,8 - 28 days,13035
254,1997/98,S92000003,d,Total,d,29 days - 6 months,8940
255,1997/98,S92000003,d,Total,d,> 6 months,2205
256,1998/99,SB0801, ,SMR01, ,< 1 day,0
257,1998/99,SB0801, ,SMR01, ,1 - 7 days,0
258,1998/99,SB0801, ,SMR01, ,8 - 28 days,0
259,1998/99,SB0801, ,SMR01, ,29 days - 6 months,0
260,1998/99,SB0801, ,SMR01, ,> 6 months,0
261,1998/99,SB0801, ,SMR04, ,< 1 day,0
262,1998/99,SB0801, ,SMR04, ,1 - 7 days,0
263,1998/99,SB0801, ,SMR04, ,8 - 28 days,0
264,1998/99,SB0801, ,SMR04, ,29 days - 6 months,0
265,1998/99,SB0801, ,SMR04, ,> 6 months,0
266,1998/99,SB0801, ,Total,d,< 1 day,0
267,1998/99,SB0801, ,Total,d,1 - 7 days,0
268,1998/99,SB0801, ,Total,d,8 - 28 days,0
269,1998/99,SB0801, ,Total,d,29 days - 6 months,0
270,1998/99,SB0801, ,Total,d,> 6 months,0
271,1998/99,S08000015, ,SMR01, ,< 1 day,220
272,1998/99,S08000015, ,SMR01, ,1 - 7 days,420
273,1998/99,S08000015, ,SMR01, ,8 - 28 days,105
274,1998/99,S08000015, ,SMR01, ,29 days - 6 months,55
275,1998/99,S08000015, ,SMR01, ,> 6 months,5
276,1998/99,S08000015, ,SMR04, ,< 1 day,50
277,1998/99,S08000015, ,SMR04, ,1 - 7 days,655
278,1998/99,S08000015, ,SMR04, ,8 - 28 days,1035
279,1998/99,S08000015, ,SMR04, ,29 days - 6 months,655
280,1998/99,S08000015, ,SMR04, ,> 6 months,145
281,1998/99,S08000015, ,Total,d,< 1 day,270
282,1998/99,S08000015, ,Total,d,1 - 7 days,1070
283,1998/99,S08000015, ,Total,d,8 - 28 days,1140
284,1998/99,S08000015, ,Total,d,29 days - 6 months,710
285,1998/99,S08000015, ,Total,d,> 6 months,155
286,1998/99,S08000016, ,SMR01, ,< 1 day,30
287,1998/99,S08000016, ,SMR01, ,1 - 7 days,80
288,1998/99,S08000016, ,SMR01, ,8 - 28 days,60
289,1998/99,S08000016, ,SMR01, ,29 days - 6 months,30
290,1998/99,S08000016, ,SMR01, ,> 6 months,0
291,1998/99,S08000016, ,SMR04, ,< 1 day,5
292,1998/99,S08000016, ,SMR04, ,1 - 7 days,175
293,1998/99,S08000016, ,SMR04, ,8 - 28 days,190
294,1998/99,S08000016, ,SMR04, ,29 days - 6 months,175
295,1998/99,S08000016, ,SMR04, ,> 6 months,45
296,1998/99,S08000016, ,Total,d,< 1 day,35
297,1998/99,S08000016, ,Total,d,1 - 7 days,255
298,1998/99,S08000016, ,Total,d,8 - 28 days,250
299,1998/99,S08000016, ,Total,d,29 days - 6 months,205
300,1998/99,S08000016, ,Total,d,> 6 months,45
301,1998/99,S08000017, ,SMR01, ,< 1 day,55
302,1998/99,S08000017, ,SMR01, ,1 - 7 days,140
303,1998/99,S08000017, ,SMR01, ,8 - 28 days,75
304,1998/99,S08000017, ,SMR01, ,29 days - 6 months,10
305,1998/99,S08000017, ,SMR01, ,> 6 months,0
306,1998/99,S08000017, ,SMR04, ,< 1 day,10
307,1998/99,S08000017, ,SMR04, ,1 - 7 days,185
308,1998/99,S08000017, ,SMR04, ,8 - 28 days,245
309,1998/99,S08000017, ,SMR04, ,29 days - 6 months,270
310,1998/99,S08000017, ,SMR04, ,> 6 months,85
311,1998/99,S08000017, ,Total,d,< 1 day,65
312,1998/99,S08000017, ,Total,d,1 - 7 days,325
313,1998/99,S08000017, ,Total,d,8 - 28 days,320
314,1998/99,S08000017, ,Total,d,29 days - 6 months,280
315,1998/99,S08000017, ,Total,d,> 6 months,85
316,1998/99,S08000029, ,SMR01, ,< 1 day,65
317,1998/99,S08000029, ,SMR01, ,1 - 7 days,130
318,1998/99,S08000029, ,SMR01, ,8 - 28 days,35
319,1998/99,S08000029, ,SMR01, ,29 days - 6 months,40
320,1998/99,S08000029, ,SMR01, ,> 6 months,5
321,1998/99,S08000029, ,SMR04, ,< 1 day,40
322,1998/99,S08000029, ,SMR04, ,1 - 7 days,495
323,1998/99,S08000029, ,SMR04, ,8 - 28 days,615
324,1998/99,S08000029, ,SMR04, ,29 days - 6 months,505
325,1998/99,S08000029, ,SMR04, ,> 6 months,120
326,1998/99,S08000029, ,Total,d,< 1 day,100
327,1998/99,S08000029, ,Total,d,1 - 7 days,625
328,1998/99,S08000029, ,Total,d,8 - 28 days,650
329,1998/99,S08000029, ,Total,d,29 days - 6 months,545
330,1998/99,S08000029, ,Total,d,> 6 months,125
331,1998/99,S08000019, ,SMR01, ,< 1 day,55
332,1998/99,S08000019, ,SMR01, ,1 - 7 days,140
333,1998/99,S08000019, ,SMR01, ,8 - 28 days,65
334,1998/99,S08000019, ,SMR01, ,29 days - 6 months,20
335,1998/99,S08000019, ,SMR01, ,> 6 months,0
336,1998/99,S08000019, ,SMR04, ,< 1 day,95
337,1998/99,S08000019, ,SMR04, ,1 - 7 days,225
338,1998/99,S08000019, ,SMR04, ,8 - 28 days,410
339,1998/99,S08000019, ,SMR04, ,29 days - 6 months,425
340,1998/99,S08000019, ,SMR04, ,> 6 months,95
341,1998/99,S08000019, ,Total,d,< 1 day,145
342,1998/99,S08000019, ,Total,d,1 - 7 days,365
343,1998/99,S08000019, ,Total,d,8 - 28 days,475
344,1998/99,S08000019, ,Total,d,29 days - 6 months,445
345,1998/99,S08000019, ,Total,d,> 6 months,95
346,1998/99,S08000020, ,SMR01, ,< 1 day,160
347,1998/99,S08000020, ,SMR01, ,1 - 7 days,455
348,1998/99,S08000020, ,SMR01, ,8 - 28 days,200
349,1998/99,S08000020, ,SMR01, ,29 days - 6 months,85
350,1998/99,S08000020, ,SMR01, ,> 6 months,0
351,1998/99,S08000020, ,SMR04, ,< 1 day,40
352,1998/99,S08000020, ,SMR04, ,1 - 7 days,585
353,1998/99,S08000020, ,SMR04, ,8 - 28 days,935
354,1998/99,S08000020, ,SMR04, ,29 days - 6 months,710
355,1998/99,S08000020, ,SMR04, ,> 6 months,190
356,1998/99,S08000020, ,Total,d,< 1 day,205
357,1998/99,S08000020, ,Total,d,1 - 7 days,1040
358,1998/99,S08000020, ,Total,d,8 - 28 days,1130
359,1998/99,S08000020, ,Total,d,29 days - 6 months,795
360,1998/99,S08000020, ,Total,d,> 6 months,195
361,1998/99,S08000031, ,SMR01, ,< 1 day,330
362,1998/99,S08000031, ,SMR01, ,1 - 7 days,1210
363,1998/99,S08000031, ,SMR01, ,8 - 28 days,480
364,1998/99,S08000031, ,SMR01, ,29 days - 6 months,380
365,1998/99,S08000031, ,SMR01, ,> 6 months,40
366,1998/99,S08000031, ,SMR04, ,< 1 day,170
367,1998/99,S08000031, ,SMR04, ,1 - 7 days,1825
368,1998/99,S08000031, ,SMR04, ,8 - 28 days,2700
369,1998/99,S08000031, ,SMR04, ,29 days - 6 months,2195
370,1998/99,S08000031, ,SMR04, ,> 6 months,665
371,1998/99,S08000031, ,Total,d,< 1 day,500
372,1998/99,S08000031, ,Total,d,1 - 7 days,3035
373,1998/99,S08000031, ,Total,d,8 - 28 days,3180
374,1998/99,S08000031, ,Total,d,29 days - 6 months,2575
375,1998/99,S08000031, ,Total,d,> 6 months,705
376,1998/99,S08000022, ,SMR01, ,< 1 day,200
377,1998/99,S08000022, ,SMR01, ,1 - 7 days,545
378,1998/99,S08000022, ,SMR01, ,8 - 28 days,180
379,1998/99,S08000022, ,SMR01, ,29 days - 6 months,75
380,1998/99,S08000022, ,SMR01, ,> 6 months,5
381,1998/99,S08000022, ,SMR04, ,< 1 day,20
382,1998/99,S08000022, ,SMR04, ,1 - 7 days,505
383,1998/99,S08000022, ,SMR04, ,8 - 28 days,805
384,1998/99,S08000022, ,SMR04, ,29 days - 6 months,535
385,1998/99,S08000022, ,SMR04, ,> 6 months,120
386,1998/99,S08000022, ,Total,d,< 1 day,225
387,1998/99,S08000022, ,Total,d,1 - 7 days,1050
388,1998/99,S08000022, ,Total,d,8 - 28 days,985
389,1998/99,S08000022, ,Total,d,29 days - 6 months,615
390,1998/99,S08000022, ,Total,d,> 6 months,125
391,1998/99,S08000032, ,SMR01, ,< 1 day,155
392,1998/99,S08000032, ,SMR01, ,1 - 7 days,370
393,1998/99,S08000032, ,SMR01, ,8 - 28 days,105
394,1998/99,S08000032, ,SMR01, ,29 days - 6 months,80
395,1998/99,S08000032, ,SMR01, ,> 6 months,5
396,1998/99,S08000032, ,SMR04, ,< 1 day,70
397,1998/99,S08000032, ,SMR04, ,1 - 7 days,630
398,1998/99,S08000032, ,SMR04, ,8 - 28 days,970
399,1998/99,S08000032, ,SMR04, ,29 days - 6 months,675
400,1998/99,S08000032, ,SMR04, ,> 6 months,175
401,1998/99,S08000032, ,Total,d,< 1 day,225
402,1998/99,S08000032, ,Total,d,1 - 7 days,995
403,1998/99,S08000032, ,Total,d,8 - 28 days,1075
404,1998/99,S08000032, ,Total,d,29 days - 6 months,755
405,1998/99,S08000032, ,Total,d,> 6 months,180
406,1998/99,S08000024, ,SMR01, ,< 1 day,210
407,1998/99,S08000024, ,SMR01, ,1 - 7 days,470
408,1998/99,S08000024, ,SMR01, ,8 - 28 days,200
409,1998/99,S08000024, ,SMR01, ,29 days - 6 months,140
410,1998/99,S08000024, ,SMR01, ,> 6 months,5
411,1998/99,S08000024, ,SMR04, ,< 1 day,80
412,1998/99,S08000024, ,SMR04, ,1 - 7 days,1290
413,1998/99,S08000024, ,SMR04, ,8 - 28 days,1980
414,1998/99,S08000024, ,SMR04, ,29 days - 6 months,1275
415,1998/99,S08000024, ,SMR04, ,> 6 months,295
416,1998/99,S08000024, ,Total,d,< 1 day,290
417,1998/99,S08000024, ,Total,d,1 - 7 days,1760
418,1998/99,S08000024, ,Total,d,8 - 28 days,2180
419,1998/99,S08000024, ,Total,d,29 days - 6 months,1420
420,1998/99,S08000024, ,Total,d,> 6 months,300
421,1998/99,S08000025, ,SMR01, ,< 1 day,15
422,1998/99,S08000025, ,SMR01, ,1 - 7 days,30
423,1998/99,S08000025, ,SMR01, ,8 - 28 days,5
424,1998/99,S08000025, ,SMR01, ,29 days - 6 months,5
425,1998/99,S08000025, ,SMR01, ,> 6 months,0
426,1998/99,S08000025, ,SMR04, ,< 1 day,0
427,1998/99,S08000025, ,SMR04, ,1 - 7 days,0
428,1998/99,S08000025, ,SMR04, ,8 - 28 days,0
429,1998/99,S08000025, ,SMR04, ,29 days - 6 months,0
430,1998/99,S08000025, ,SMR04, ,> 6 months,0
431,1998/99,S08000025, ,Total,d,< 1 day,15
432,1998/99,S08000025, ,Total,d,1 - 7 days,30
433,1998/99,S08000025, ,Total,d,8 - 28 days,5
434,1998/99,S08000025, ,Total,d,29 days - 6 months,5
435,1998/99,S08000025, ,Total,d,> 6 months,0
436,1998/99,S08000026, ,SMR01, ,< 1 day,40
437,1998/99,S08000026, ,SMR01, ,1 - 7 days,60
438,1998/99,S08000026, ,SMR01, ,8 - 28 days,10
439,1998/99,S08000026, ,SMR01, ,29 days - 6 months,5
440,1998/99,S08000026, ,SMR01, ,> 6 months,0
441,1998/99,S08000026, ,SMR04, ,< 1 day,0
442,1998/99,S08000026, ,SMR04, ,1 - 7 days,0
443,1998/99,S08000026, ,SMR04, ,8 - 28 days,0
444,1998/99,S08000026, ,SMR04, ,29 days - 6 months,0
445,1998/99,S08000026, ,SMR04, ,> 6 months,0
446,1998/99,S08000026, ,Total,d,< 1 day,40
447,1998/99,S08000026, ,Total,d,1 - 7 days,60
448,1998/99,S08000026, ,Total,d,8 - 28 days,10
449,1998/99,S08000026, ,Total,d,29 days - 6 months,5
450,1998/99,S08000026, ,Total,d,> 6 months,0
451,1998/99,S08000030, ,SMR01, ,< 1 day,160
452,1998/99,S08000030, ,SMR01, ,1 - 7 days,295
453,1998/99,S08000030, ,SMR01, ,8 - 28 days,140
454,1998/99,S08000030, ,SMR01, ,29 days - 6 months,75
455,1998/99,S08000030, ,SMR01, ,> 6 months,10
456,1998/99,S08000030, ,SMR04, ,< 1 day,55
457,1998/99,S08000030, ,SMR04, ,1 - 7 days,635
458,1998/99,S08000030, ,SMR04, ,8 - 28 days,895
459,1998/99,S08000030, ,SMR04, ,29 days - 6 months,815
460,1998/99,S08000030, ,SMR04, ,> 6 months,250
461,1998/99,S08000030, ,Total,d,< 1 day,210
462,1998/99,S08000030, ,Total,d,1 - 7 days,930
463,1998/99,S08000030, ,Total,d,8 - 28 days,1040
464,1998/99,S08000030, ,Total,d,29 days - 6 months,890
465,1998/99,S08000030, ,Total,d,> 6 months,255
